Searchstring;Key;Item Type;Publication Year;Author;Title;Publication Title;ISBN;ISSN;DOI;Url;Abstract Note;Date;Date Added;Date Modified;Access Date;Pages;Num Pages;Issue;Volume;Number Of Volumes;Journal Abbreviation;Short Title;Series;Series Number;Series Text;Series Title;Publisher;Place;Language;Rights;Type;Archive;Archive Location;Library Catalog;Call Number;Extra;Notes;File Attachments;Link Attachments;Manual Tags;Automatic Tags;Editor;Series Editor;Translator;Contributor;Attorney Agent;Book Author;Cast Member;Commenter;Composer;Cosponsor;Counsel;Interviewer;Producer;Recipient;Reviewed Author;Scriptwriter;Words By;Guest;Number;Edition;Running Time;Scale;Medium;Artwork Size;Filing Date;Application Number;Assignee;Issuing Authority;Country;Meeting Name;Conference Name;Court;References;Reporter;Legal Status;Priority Numbers;Programming Language;Version;System;Code;Code Number;Section;Session;Committee;History;Legislative Body
"(""VRP"" OR ""vehicle routing"" OR “vehicle-routing"") AND ""problem""";MCR2D3BE;book;2014;;Vehicle routing: problems, methods, and applications;;978-1-61197-358-7;;;;;2014;16.08.25 11:04;16.08.25 11:04;;;463;;;;;Vehicle routing;MOS-SIAM series on optimization;;;;Society for Industrial and Applied Mathematics : Mathematical Optimization Society;Philadelphia;;;;;;Library of Congress ISBN;QA402.6 .V44 2014;;;/Users/alexanderklaus/Zotero/storage/LP65GWXE/Toth und Vigo - 2014 - Vehicle routing problems, methods, and applications.pdf;;;Transportation problems (Programming);"Toth, Paolo; Vigo, Daniele";;;;;;;;;;;;;;;;;;;Second edition;;;;;;;;;;;;;;;;;;;;;;;;;;
"(""VRP"" OR ""vehicle routing"" OR “vehicle-routing"") AND ""problem""";IZJSR4SD;journalArticle;1974;Orloff, C. S.;A fundamental problem in vehicle routing;Networks;;0028-3045, 1097-0037;10.1002/net.3230040105;https://onlinelibrary.wiley.com/doi/10.1002/net.3230040105;Abstract             An important but difficult combinatorial problem, in general, is to find the optimal route for a single vehicle on a given network. This paper defines a problem type, called the General Routing Problem, and gives an algorithm for its solution. The classical Traveling Salesman Problem and the Chinese Postman Problem are shown to be special limiting cases of the General Routing Problem. The algorithm provides a unified approach to both node and arc oriented routing problems, and exploits special properties of most real transportation networks such as sparsity of the associated adjacency matrix, and the tendency for arc symmetry at many nodes. For node oriented routing problems, this approach tends to produce large reduction in effective problem size.;1974-01;16.08.25 14:24;16.08.25 14:24;16.08.25 14:24;35-64;;1;4;;Networks;;;;;;;;en;http://onlinelibrary.wiley.com/termsAndConditions#vor;;;;DOI.org (Crossref);;;;/Users/alexanderklaus/Zotero/storage/QVVG43ZN/Orloff - 1974 - A fundamental problem in vehicle routing.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
