id,name,x,y
1000,VLP Boizenburg,10.760812836356148,53.38170949587008
1001,VLP Hagenow,11.213517152325744,53.41777883426863
1002,VLP Parchim,11.86980995664959,53.434787191102394
1003,VLP Schwerin,11.377635298105563,53.65233984283069
1004,VLP Ludwigslust,11.51084416925458,53.30832092039129
1005,VLP Sternberg,11.81783209810834,53.71577972009487
