Fahrzeug-ID,Linie,Abfahrt-Datum,Annahme,Status,angem.Pers,bef.Pers,Einstieg_GTFS,Ausstieg_GTFS,abfahrt_minutes,day,depot,trip_id,einstieg_stop_id,einstieg_stop_sequence,ausstieg_stop_id,ausstieg_stop_sequence,trip_sequence_in_line
138,830,2024-08-22,I_ESM,DU,1,1,Schwanheide Bahnhof,Gallin (Bzb) Heisterbusch West,368,thursday,VLP Boizenburg,1515287,264609,23,208588,43,8
173,814,2024-08-22,I_ESM,DU,1,0,Ludwigslust Alexandrinenplatz,Fahrbinde Dorf,380,thursday,VLP Ludwigslust,1131434,537253,3,660086,16,6
135,846,2024-08-22,I_ESM,DU,1,0,Rampe Diakonie,Cambs Schweriner Str.,381,thursday,VLP Schwerin,28465,386628,18,530976,21,6
125,823,2024-08-22,I_ESM,DU,1,1,Besendorf (Meckl),Hagenow Robert-Stock-Str.,385,thursday,VLP Hagenow,616484,577184,27,592840,50,10
134,847,2024-08-22,I_AUS,DU,1,1,Schwerin Keplerstraße,Sukow (b Schwerin) Wende,390,thursday,VLP Schwerin,686229,431277,1,202841,16,11
136,804,2024-08-22,I_ESM,DU,1,1,Langenhagen 1,Dobbertin,390,thursday,VLP Parchim,177585,473086,21,390388,43,7
123,822,2024-08-22,P_tik,DU,1,1,Vellahn Schule,Hagenow Land Bahnhof,394,thursday,VLP Hagenow,1282015,206496,12,364953,41,10
0,814,2024-08-22,I_ESM,A,1,1,Wöbbelin Funkamt,Rastow Bahnhof,395,thursday,VLP Ludwigslust,1131434,379583,10,523772,18,6
173,814,2024-08-22,I_ESM,DU,1,1,Wöbbelin Funkamt,Rastow Bahnhof,395,thursday,VLP Ludwigslust,1131434,379583,10,523772,18,6
173,814,2024-08-22,I_ESM,DU,1,0,Wöbbelin Funkamt,Rastow Bahnhof,395,thursday,VLP Ludwigslust,1131434,379583,10,523772,18,6
147,840,2024-08-22,I_ESM,DU,1,1,Dümmer Postweg,Schwerin Süd (Bahn),398,thursday,VLP Schwerin,281155,588538,14,262821,53,4
139,832,2024-08-22,P_NEr,DU,1,1,Melkof Dorf,Vellahn B5,400,thursday,VLP Boizenburg,1023730,340080,15,659357,23,10
131,813,2024-08-22,I_AUS,DU,1,1,Alt Krenzlin,Picher,401,thursday,VLP Ludwigslust,1048381,374563,10,504365,15,6
147,840,2024-08-22,P_IID,DU,1,1,Stralendorf b Schwerin,Schwerin Süd (Bahn),404,thursday,VLP Schwerin,281155,540576,25,262821,53,4
124,820,2024-08-22,P_AlS,DU,1,1,Moraas Abzw n Kuhstorf,Hagenow Robert-Stock-Str.,404,thursday,VLP Hagenow,885035,164397,9,592840,29,10
125,823,2024-08-22,I_ESM,DU,1,1,Gammelin,Hagenow ZOB,405,thursday,VLP Hagenow,616484,653304,42,597045,51,10
140,54,2024-08-22,I_ESM,DU,1,1,Hagenow Krankenhaus,Zarrentin a Schaals. Bahnhofst,406,thursday,VLP Hagenow,479060,323296,6,47525,27,9
152,810,2024-08-22,P_NCM,DU,1,1,Brunow (b Parchim) Kirche,Grabow (Meckl) Binnung,408,thursday,VLP Ludwigslust,789580,14939,3,325288,33,5
139,832,2024-08-22,I_ESM,DU,1,1,Vellahn Schule,Boizenburg Markt,408,thursday,VLP Boizenburg,1023730,206496,21,614787,55,10
139,832,2024-08-22,I_ESM,DU,1,1,Vellahn Schule,Bennin Dorf,408,thursday,VLP Boizenburg,1023730,206496,21,86708,40,10
132,821,2024-08-22,P_dis,DU,1,1,Hagenow Finanzamt,Lübtheen R.-Breitscheid-Str.,409,thursday,VLP Ludwigslust,728710,552637,4,369432,29,12
138,830,2024-08-22,I_ESM,DU,1,1,Nieklitz,Zarrentin a Schaals. Bahnhofst,410,thursday,VLP Boizenburg,935218,147641,35,47525,51,10
128,816,2024-08-22,P_NCM,DU,1,1,Suckow Mentiner Str.,Parchim ZOB,411,thursday,VLP Parchim,1546340,165646,6,86550,28,6
138,830,2024-08-22,P_KHo,DU,1,1,Gallin (b Zarrentin),Zarrentin a Schaals. Bahnhofst,413,thursday,VLP Boizenburg,935218,486701,39,47525,51,10
138,830,2024-08-22,I_ESM,DU,1,1,Gallin Galliner Ring Süd,Zarrentin a Schaals. Markt,414,thursday,VLP Boizenburg,935218,467958,41,463815,52,10
